0_cv_score,1_cv_score,2_cv_score,3_cv_score,4_cv_score,max_depth,max_features,min_samples_leaf,n_estimators,score
1211.78460455,1211.13470417,1219.99130899,1219.32155545,1206.84902491,24.0,0.35,19.0,136.0,1213.81623961
1194.61509516,1195.60410913,1204.02538492,1202.25434397,1190.28567974,21.0,0.7,9.0,218.0,1197.35692259
1216.86077193,1215.59505559,1226.03083755,1225.58279656,1211.6252894,22.0,0.2,15.0,116.0,1219.13895021
1194.96368863,1195.42162078,1203.91771494,1202.36681878,1188.95329733,24.0,0.9,12.0,227.0,1197.12462809
1202.08857386,1202.1067442,1210.94553678,1209.60382859,1196.97537324,22.0,0.8,19.0,164.0,1204.34401133
1195.34221431,1195.99635621,1202.69358883,1202.36113665,1189.3035428,18.0,1.0,10.0,175.0,1197.13936776
1196.389355,1195.77397119,1204.73589076,1203.12364738,1190.17987536,22.0,0.5,7.0,253.0,1198.04054794
1206.30634574,1207.09879932,1214.17348009,1213.56878345,1200.63517457,15.0,0.65,11.0,175.0,1208.35651663
1192.17747575,1192.8077793,1201.34472054,1200.6089736,1186.29939846,23.0,0.95,10.0,231.0,1194.64766953
1209.52586854,1209.17996886,1218.03956189,1217.88863658,1204.71847124,21.0,0.4,18.0,137.0,1211.87050142
1214.45043403,1213.95884317,1223.0494865,1222.52707525,1208.71060153,20.0,0.3,19.0,124.0,1216.5392881
1202.48505136,1202.05844736,1211.18468558,1210.90009163,1196.66631772,21.0,0.5,13.0,149.0,1204.65891873
1202.18281621,1201.84604083,1211.15196566,1210.39232512,1197.04978322,20.0,0.4,10.0,194.0,1204.52458621
1199.75413115,1200.0017261,1208.50846138,1207.75981961,1193.78323416,24.0,0.6,13.0,207.0,1201.96147448
1198.82637581,1199.56337513,1208.72142819,1207.52904114,1194.50836161,16.0,0.7,7.0,195.0,1201.82971638
1191.9957875,1192.87914168,1201.29892688,1201.1474972,1186.96876406,22.0,0.6,6.0,296.0,1194.85802347
1199.6084295,1198.96398212,1208.11287396,1206.86341732,1193.82205633,20.0,0.45,8.0,141.0,1201.47415184
1199.95195655,1199.85366082,1207.80632505,1206.75191553,1193.62090165,19.0,0.65,12.0,259.0,1201.59695192
1200.27011783,1200.08282449,1209.17208512,1208.33228684,1194.68755998,18.0,0.4,6.0,287.0,1202.50897485
1192.78883665,1192.98554484,1200.96397226,1200.46715121,1185.74289262,22.0,0.85,7.0,111.0,1194.58967952
1196.00094132,1195.80566605,1203.98673915,1202.94487826,1189.69258322,23.0,1.0,14.0,231.0,1197.6861616
1198.3947922,1198.79795112,1207.58334485,1206.89672676,1193.82839744,23.0,0.9,16.0,111.0,1201.10024247
1201.61724845,1202.82056719,1210.43114901,1209.30951701,1196.23013506,17.0,0.9,17.0,294.0,1204.08172335
1194.35381939,1194.42002634,1202.28956173,1202.2241566,1187.93290615,23.0,0.8,10.0,288.0,1196.24409404
1198.04455973,1198.59297448,1206.78718951,1205.5562338,1192.12790702,16.0,0.8,7.0,279.0,1200.22177291
1197.85070203,1198.32867306,1205.62188337,1205.06149921,1192.23084139,17.0,0.95,11.0,183.0,1199.81871981
1194.89341401,1195.26448669,1204.13552657,1203.01301312,1190.15063523,19.0,0.85,10.0,263.0,1197.49141512
1200.91996231,1201.14702789,1209.53770686,1208.62442214,1195.45081127,23.0,0.75,17.0,262.0,1203.13598609
1199.7320782,1200.54017028,1207.35159385,1206.85926727,1193.23681535,15.0,1.0,7.0,203.0,1201.54398499
1191.39163804,1192.14743485,1201.10517166,1199.67539299,1186.30008914,23.0,0.95,9.0,214.0,1194.12394534
1192.71115656,1193.35096151,1201.73486892,1200.85415291,1186.95053227,22.0,0.85,9.0,214.0,1195.12033443
1194.61343515,1193.79230778,1202.85728955,1202.07242812,1188.19654611,22.0,0.75,9.0,255.0,1196.30640134
1196.60370909,1197.33824828,1205.42378854,1204.2874469,1191.76184023,24.0,0.95,15.0,257.0,1199.08300661
1192.93041319,1194.15536908,1201.19325502,1200.60658298,1188.71284686,23.0,0.85,9.0,121.0,1195.51969343
1214.94965137,1213.6251953,1223.19568669,1222.73498979,1209.11133164,18.0,0.25,14.0,206.0,1216.72337096
1202.61994174,1202.78328206,1210.21369046,1209.52071792,1197.17427743,22.0,0.75,18.0,160.0,1204.46238192
1205.79498027,1206.45405144,1214.729436,1213.91524428,1200.69323447,15.0,0.55,8.0,187.0,1208.31738929
1204.39691388,1205.05867768,1212.23250916,1212.03170496,1199.29276897,17.0,0.7,16.0,174.0,1206.60251493
1198.58865506,1199.41084646,1207.30414488,1205.77377811,1193.1784427,16.0,0.95,9.0,125.0,1200.85117344
1198.15846117,1198.38939156,1206.01071929,1205.92662524,1192.42785839,21.0,0.9,15.0,157.0,1200.18261113
1205.3473474,1205.39976726,1213.86213771,1212.79623395,1199.96510405,19.0,0.65,19.0,158.0,1207.47411807
1191.41677214,1191.9388,1200.12504743,1198.65761844,1185.41027998,22.0,0.8,7.0,281.0,1193.5097036
1197.17119311,1197.40323509,1205.85247367,1204.59786973,1191.09296952,24.0,0.7,12.0,214.0,1199.22354822
1193.36287869,1193.24714771,1202.31211005,1200.95714912,1187.2822346,23.0,1.0,11.0,182.0,1195.43230403
1196.35809012,1196.75257212,1205.76718738,1203.49813593,1190.15482174,18.0,0.8,9.0,150.0,1198.50616146
1201.91316809,1201.70148115,1210.24701551,1209.87180171,1195.79465869,20.0,0.55,13.0,213.0,1203.90562503
1192.12976385,1193.45120267,1202.38004851,1201.20572348,1188.32281163,21.0,0.75,7.0,126.0,1195.49791003
1200.39512101,1200.85556758,1208.63265129,1207.82976551,1194.55520019,22.0,0.95,18.0,108.0,1202.45366111
1204.17841825,1204.26575924,1212.9968932,1212.11939967,1198.41599189,15.0,0.65,8.0,179.0,1206.39529245
1190.3659574,1191.34351869,1199.76726677,1198.78634009,1184.68231698,22.0,0.9,6.0,117.0,1192.98907999
1188.92961941,1190.03963867,1198.87192517,1197.54009354,1183.44622739,22.0,0.9,6.0,281.0,1191.76550084
1207.38178805,1206.30725474,1216.81921439,1215.47535683,1201.30891893,22.0,0.2,6.0,117.0,1209.45850659
1201.93968607,1200.64768262,1209.99903602,1208.61772546,1195.64592411,22.0,0.3,6.0,123.0,1203.37001086
1194.49708753,1193.95694128,1203.13623288,1201.14858145,1188.5119473,22.0,0.55,6.0,199.0,1196.25015809
1196.93656008,1197.23517021,1205.53408441,1204.53941579,1190.99714386,16.0,0.9,6.0,289.0,1199.04847487
1196.95158247,1196.90420369,1206.04429378,1204.68652808,1190.92046936,20.0,0.45,6.0,282.0,1199.10141548
1189.8604223,1189.67643777,1198.66356054,1196.71009248,1181.8120124,22.0,1.0,6.0,167.0,1191.3445051
1201.14704889,1201.17217899,1209.39955789,1208.13742886,1195.35733233,19.0,1.0,19.0,167.0,1203.04270939
1211.27798306,1211.14213485,1219.84523645,1218.63555383,1206.74380771,17.0,0.35,14.0,104.0,1213.52894318
1203.28283495,1203.32377907,1211.52558961,1211.06171075,1197.87963168,24.0,0.6,17.0,186.0,1205.41470921
1202.17290444,1201.48946403,1210.03574008,1208.89897556,1196.02398494,21.0,0.5,12.0,178.0,1203.72421381
1201.11488484,1202.04917484,1209.9315443,1208.71762844,1196.38588272,18.0,0.85,16.0,112.0,1203.63982303
1189.22861314,1190.33554728,1199.28962261,1197.86009188,1183.56911653,22.0,0.9,6.0,191.0,1192.05659829
1193.15176923,1193.43248695,1202.20896152,1200.8959717,1187.44439243,22.0,1.0,11.0,237.0,1195.42671637
1203.40259767,1204.25609037,1211.86306462,1210.66471617,1198.72715563,16.0,0.7,13.0,280.0,1205.78272489
1188.9556451,1189.49367953,1198.63958084,1197.14031023,1183.00367127,22.0,0.95,6.0,274.0,1191.4465774
1189.30623152,1189.89175498,1198.67291045,1197.39315764,1183.4734384,22.0,0.95,6.0,212.0,1191.7474986
1189.21467875,1189.86905184,1198.71546188,1197.43875211,1183.07067537,22.0,0.95,6.0,236.0,1191.66172399
1188.77402117,1189.13813011,1198.38036857,1196.36155348,1181.55742574,22.0,1.0,6.0,264.0,1190.84229981
1203.15918656,1204.56789303,1211.20863319,1210.86122593,1197.94735294,15.0,1.0,15.0,264.0,1205.54885833
1190.53589721,1190.86831905,1199.53942011,1198.49602709,1185.3352811,22.0,0.85,6.0,167.0,1192.95498891
1195.40028264,1195.37604928,1204.20828219,1203.55079062,1189.76115583,20.0,0.8,10.0,147.0,1197.65931211
1199.97081362,1201.13205219,1208.70826805,1207.23320844,1194.00906806,19.0,1.0,18.0,235.0,1202.21068207
1201.12078127,1202.20102397,1209.30953952,1208.7150776,1195.17838404,17.0,1.0,17.0,292.0,1203.30496128
1190.59929928,1191.41407285,1199.76210185,1198.62248376,1184.8979824,22.0,0.95,8.0,297.0,1193.05918803
1190.24321694,1190.43274554,1198.93980803,1198.61810816,1184.15527407,24.0,0.85,6.0,190.0,1192.47783055
1201.09285712,1201.0044362,1209.66088644,1208.85142568,1195.32855057,18.0,0.75,14.0,166.0,1203.1876312
1195.91925816,1196.80070572,1204.66840252,1203.79817977,1190.78711032,22.0,0.8,12.0,268.0,1198.3947313
1200.1052156,1201.012258,1208.94342635,1208.28650357,1195.00051741,21.0,0.95,19.0,290.0,1202.66958419
1205.41710373,1206.27321664,1213.95713542,1213.21422841,1200.20192416,15.0,0.9,16.0,202.0,1207.81272167
1196.57658497,1195.93878323,1205.37744232,1203.83624626,1190.02776494,22.0,0.45,6.0,211.0,1198.35136434
1201.7241082,1202.3147903,1209.53454314,1208.43676834,1196.04227243,16.0,0.85,13.0,234.0,1203.61049648
1197.18436602,1197.51683977,1205.74829365,1204.28489068,1191.31653489,22.0,0.95,15.0,283.0,1199.210185
1195.48618043,1195.84370127,1204.1547276,1203.07276253,1189.7348345,19.0,0.9,11.0,248.0,1197.65844127
1194.95919097,1193.19481558,1202.17100705,1199.96904406,1187.64267583,20.0,1.0,10.0,120.0,1195.5873467
1197.5609568,1197.19293081,1205.69953251,1205.3328833,1191.48995928,17.0,0.65,6.0,219.0,1199.45525254
1202.17674731,1202.38401975,1210.54840843,1209.60235985,1197.18782904,24.0,0.75,18.0,110.0,1204.37987288
1189.9990785,1191.03728815,1199.78410745,1198.80798671,1185.15893256,23.0,0.8,6.0,198.0,1192.95747868
1206.3829488,1204.07192334,1214.88861594,1213.02840022,1200.21972135,22.0,0.25,8.0,133.0,1207.71832193
1200.46020022,1201.13411802,1209.20552285,1207.48554219,1194.53965071,18.0,0.95,17.0,276.0,1202.5650068
1197.43462269,1197.92115796,1206.05593488,1205.4557258,1192.23322146,21.0,0.85,14.0,247.0,1199.82013256
1201.1014543,1201.50283557,1209.29812405,1208.98392058,1195.73980781,22.0,0.9,19.0,151.0,1203.32522846
1199.37630241,1199.44535058,1207.41527475,1206.95426166,1193.81980017,15.0,1.0,6.0,208.0,1201.40219792
1200.42741583,1198.37154061,1209.03066379,1207.17122391,1193.72657621,22.0,0.35,7.0,274.0,1201.74548407
1206.17431955,1206.63344613,1213.68461128,1213.66034713,1200.5675104,16.0,0.7,16.0,130.0,1208.1440469
1194.17444244,1195.04783432,1203.41421425,1201.9389348,1188.67726824,22.0,1.0,12.0,193.0,1196.65053881
1190.56133438,1191.36041252,1200.11696476,1198.48094067,1185.72692681,20.0,0.85,6.0,264.0,1193.24931583
1201.86351806,1201.61614108,1210.35681413,1209.08139431,1195.87285305,23.0,0.5,13.0,256.0,1203.75814413
1197.89374759,1198.00372769,1206.5784855,1205.47532792,1191.50236955,19.0,0.6,9.0,225.0,1199.89073165
1199.52739066,1198.99158047,1208.39042096,1206.73098619,1193.29648505,22.0,0.55,11.0,139.0,1201.38737267
