id,0_cv_score,0_n_rounds,1_cv_score,1_n_rounds,2_cv_score,2_n_rounds,3_cv_score,3_n_rounds,4_cv_score,4_n_rounds,alpha,colsample_bytree,eta,gamma,max_depth,min_child_weight,n_rounds,nthread,score,seed,silent,subsample
1,1139.31825104,614.0,1132.39021596,393.0,1142.5218379,394.0,1142.21347169,490.0,1129.65467646,497.0,6.0,0.75,0.1,1.0,12.0,125.0,477.0,20.0,1137.21969061,2016.0,1.0,0.65
2,1138.77470444,538.0,1134.02187183,359.0,1141.27542453,642.0,1141.88694288,648.0,1127.38725802,628.0,5.5,0.75,0.1,1.1,11.0,108.0,563.0,20.0,1136.66924034,2016.0,1.0,0.7
3,1136.32893046,499.0,1129.8853047,592.0,1139.65729489,649.0,1140.49065051,602.0,1127.05124703,480.0,7.75,0.35,0.1,0.85,12.0,122.0,564.0,20.0,1134.68268552,2016.0,1.0,0.75
4,1137.91580622,507.0,1133.53305161,359.0,1144.80053673,395.0,1142.98382533,431.0,1129.07912143,363.0,9.0,0.55,0.1,0.75,13.0,80.0,411.0,20.0,1137.66246826,2016.0,1.0,0.65
5,1136.87366163,528.0,1129.72077695,590.0,1144.33549141,605.0,1140.04547142,666.0,1130.0946115,379.0,9.75,0.6,0.1,0.75,10.0,81.0,553.0,20.0,1136.21400258,2016.0,1.0,0.7
6,1140.43955662,422.0,1134.62630904,521.0,1144.44293746,1068.0,1141.90632443,721.0,1130.18221893,789.0,7.0,0.4,0.1,1.0,9.0,113.0,704.0,20.0,1138.3194693,2016.0,1.0,0.55
7,1138.15708437,523.0,1132.2969666,313.0,1142.84338657,515.0,1141.04315599,511.0,1128.57009827,483.0,7.25,0.45,0.1,0.8,12.0,89.0,469.0,20.0,1136.58213836,2016.0,1.0,0.7
8,1135.84009751,963.0,1129.52499842,1104.0,1141.47791969,1079.0,1141.7224641,898.0,1129.06656908,866.0,9.75,0.7,0.1,1.1,8.0,110.0,982.0,20.0,1135.52640976,2016.0,1.0,0.75
9,1138.17800273,843.0,1133.14405213,834.0,1147.5331027,562.0,1143.68310635,457.0,1132.95385362,636.0,8.25,0.5,0.1,1.15,11.0,133.0,666.0,20.0,1139.09842351,2016.0,1.0,0.5
10,1139.0781867,273.0,1135.9341724,349.0,1147.45704638,339.0,1143.15697069,263.0,1132.27377779,446.0,6.5,0.3,0.1,0.5,11.0,80.0,334.0,20.0,1139.58003079,2016.0,1.0,0.55
11,1135.91675783,1257.0,1131.91503987,765.0,1143.6984499,1052.0,1141.85436341,966.0,1130.0508187,782.0,9.25,0.5,0.1,1.1,8.0,108.0,964.0,20.0,1136.68708594,2016.0,1.0,0.6
12,1136.93568771,569.0,1132.42790275,688.0,1142.65824559,934.0,1142.21823716,623.0,1129.17118221,816.0,5.25,0.55,0.1,1.1,8.0,112.0,726.0,20.0,1136.68225108,2016.0,1.0,0.65
13,1136.86562466,1202.0,1128.20211413,928.0,1142.76610992,562.0,1140.03605174,1008.0,1126.7585659,642.0,7.0,0.45,0.1,1.15,9.0,90.0,868.0,20.0,1134.92569327,2016.0,1.0,0.8
