0_cv_score,1_cv_score,2_cv_score,3_cv_score,4_cv_score,max_depth,max_features,min_samples_leaf,n_estimators,score
1197.49800709,1197.17713187,1205.94800164,1204.55538428,1192.54514767,13.0,0.85,7.0,151.0,1199.54473451
1189.53955573,1188.2447782,1197.1383766,1195.80982224,1182.76275192,15.0,0.8,7.0,282.0,1190.69905694
1190.50393497,1190.04538802,1199.04013533,1197.3326756,1184.41671148,15.0,1.0,7.0,271.0,1192.26776908
1187.05609325,1187.03453937,1195.50635526,1194.99494753,1181.62829774,16.0,0.8,10.0,257.0,1189.24404663
1205.2976674,1205.14883302,1213.54596965,1212.43513462,1200.06432404,12.0,1.0,7.0,203.0,1207.29838574
1190.74318453,1190.37535306,1198.88141062,1198.32636127,1185.37157173,15.0,0.95,11.0,190.0,1192.73957624
1192.63290213,1192.34945893,1201.63093974,1200.1856141,1187.05270739,14.0,0.8,9.0,155.0,1194.77032446
1194.0910892,1193.51581294,1202.09023731,1201.33397836,1188.44604478,14.0,1.0,10.0,263.0,1195.89543252
1189.98940067,1188.68709872,1197.81410705,1197.04490951,1184.27864426,15.0,0.75,11.0,229.0,1191.56283204
1190.04476571,1189.43705923,1198.32323227,1197.07625897,1184.68451099,15.0,0.7,11.0,173.0,1191.91316543
1187.9870015,1187.00398221,1196.28223009,1194.70147297,1182.60381872,16.0,0.85,11.0,225.0,1189.7157011
1192.314586,1191.77235537,1200.766751,1199.65222393,1187.17262165,14.0,0.75,10.0,257.0,1194.33570759
1197.3495792,1196.87987389,1205.23244016,1204.47770232,1191.61928267,13.0,0.85,8.0,282.0,1199.11177565
1192.92841557,1192.04393479,1201.0831705,1199.44910241,1186.70724467,14.0,0.75,8.0,150.0,1194.44237359
1193.88785426,1192.73637979,1201.7747575,1200.40736625,1188.44521159,14.0,0.95,8.0,153.0,1195.45031388
1187.69589249,1187.19654097,1196.08393495,1194.87971125,1182.28481348,16.0,0.75,10.0,158.0,1189.62817863
1189.37380534,1188.3273243,1197.73639455,1196.40564955,1182.60846467,15.0,0.75,7.0,188.0,1190.89032768
1204.44265105,1204.32034257,1212.31001412,1211.81183823,1199.5513077,12.0,0.95,10.0,238.0,1206.48723074
1189.08791662,1188.00899819,1197.66983255,1196.67470995,1183.06432173,16.0,0.95,11.0,199.0,1190.90115581
1187.67697619,1186.77085193,1195.57803289,1194.38086632,1181.12133471,16.0,0.8,9.0,276.0,1189.10561241
1187.60121296,1186.75541016,1195.57939863,1194.36953494,1181.07020697,16.0,0.8,9.0,273.0,1189.07515273
1188.95425146,1187.58562233,1196.33150618,1195.34778026,1182.13531032,16.0,0.9,9.0,189.0,1190.07089411
1187.74848079,1186.39139203,1195.91227191,1194.32702299,1181.42927339,16.0,0.7,9.0,171.0,1189.16168822
1188.02279935,1187.17374604,1195.59121359,1194.41750736,1181.32035558,16.0,0.8,9.0,219.0,1189.30512438
1189.23594437,1187.54715834,1196.3878097,1195.54266586,1181.98873656,16.0,0.9,9.0,166.0,1190.14046296
1204.29337799,1203.68564972,1212.35729937,1211.34577385,1198.95540973,12.0,0.9,9.0,276.0,1206.12750213
1188.32340603,1187.21294366,1195.6280169,1194.86791883,1181.7596531,16.0,0.8,9.0,176.0,1189.5583877
1196.41973206,1196.28134945,1204.83956087,1203.56717157,1191.69775668,13.0,0.7,9.0,256.0,1198.56111413
1197.58539942,1197.4015778,1205.11579763,1204.74919038,1191.99886776,13.0,0.85,9.0,182.0,1199.3701666
1187.62938531,1187.05168441,1196.34373907,1195.2582612,1181.89605619,16.0,0.85,9.0,177.0,1189.63582524
1187.78796715,1186.84795853,1195.46334176,1194.48339742,1181.30671053,16.0,0.8,9.0,249.0,1189.17787508
1203.51490752,1203.26485374,1211.36346386,1209.95709677,1198.37722081,12.0,0.8,8.0,224.0,1205.29550854
1186.59748525,1186.23166777,1195.57840337,1194.28794508,1180.06888637,16.0,0.75,7.0,276.0,1188.55287757
1196.81353405,1196.25221368,1205.09943903,1203.49315215,1191.35069806,13.0,0.7,7.0,227.0,1198.60180739
1187.41686123,1186.69052827,1195.73090153,1194.78611454,1180.59308852,16.0,0.75,7.0,178.0,1189.04349882
1186.60771788,1186.31533654,1195.70025695,1194.2702493,1180.06626891,16.0,0.75,7.0,266.0,1188.59196592
1203.43971422,1202.74520859,1210.98841338,1210.06384378,1198.14867772,12.0,0.7,7.0,237.0,1205.07717154
1186.60771788,1186.31533654,1195.70025695,1194.2702493,1180.06626891,16.0,0.75,7.0,266.0,1188.59196592
1189.19819359,1187.96787633,1196.89560401,1195.9836118,1182.83719717,15.0,0.7,7.0,299.0,1190.57649658
1196.96104082,1196.53882695,1205.55318329,1204.04041144,1191.55269509,13.0,0.75,7.0,218.0,1198.92923152
1192.10258806,1191.32041587,1200.34137568,1199.45010068,1186.87179184,14.0,0.7,7.0,254.0,1194.01725443
1189.21450805,1188.29397227,1197.60319595,1196.25411489,1182.6700275,15.0,0.75,7.0,239.0,1190.80716373
1186.85412371,1186.30371653,1195.80431222,1193.52983195,1181.35136607,16.0,0.7,7.0,161.0,1188.7686701
1204.20750941,1204.28096287,1211.74504909,1211.07427696,1199.07088272,12.0,0.9,7.0,183.0,1206.07573621
1192.43213806,1192.1063589,1201.12747462,1199.58034191,1187.18901788,14.0,0.8,7.0,204.0,1194.48706627
1187.99353196,1187.30039059,1196.37640653,1194.96949052,1182.84395422,16.0,0.85,11.0,184.0,1189.89675476
1188.96225854,1188.86640345,1197.62850632,1195.92845064,1184.13102575,15.0,0.75,10.0,206.0,1191.10332894
1187.08510211,1186.06742833,1195.80014344,1193.73206995,1181.46022468,16.0,0.8,8.0,213.0,1188.8289937
1192.18584745,1191.75782738,1201.12087675,1199.25170068,1186.9215405,14.0,0.75,7.0,194.0,1194.24755855
1197.24270722,1197.06773601,1205.37383458,1203.86656264,1192.14985221,13.0,0.7,11.0,231.0,1199.14013853
